refcalc,nmodes,{iter,R,f,size}*nmodes,L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
16,3,38,115634.859375,-4.7573518733912303347,0.0078125,0.027726498621854233501,0.0051579680944131532649,68259335873.303627014,56924598111.316841125,-10.643835190685388525,1.3991059963591890464e-08,4.6369496384341971833e-05,0.00015423553660010711126,2762.0668318271946191,8480.5721022680263559
17,3,39,119086.515625,-4.8170502420497802731,0.0078125,0.028355424559375001781,0.0053630772660780120023,65903656095.687141418,59570820821.389007568,-11.325114893412736805,1.2303514142322128085e-08,5.261166623682327336e-05,0.00015069172867838840539,2935.294907346970831,8144.8761187586351298
18,3,38,112620.625,-4.727195156994088876,0.0078125,0.029010765260090477791,0.0052590842860560319677,71239087089.076217651,56920157516.105171204,-10.322413775698473515,1.3203230751516869688e-08,5.0746134661951164272e-05,0.00014460178936813108822,2879.0024234768943643,6992.9083614460696481
19,3,38,128579.4375,-4.4905263823387056021,0.0078125,0.031926251386723600301,0.0054525690730440282833,72373306263.877685547,57299846699.74066925,-9.6065210538760386072,1.2732755884678454997e-08,5.4565057246743265177e-05,0.00014266408129020782944,2931.0848383983061467,7860.7386675829711749
20,3,42,127922.46875,-4.742881614087364639,0.0078125,0.028360837296285124759,0.0046538389791519561151,69083301941.902984619,60197364719.164260864,-10.476321741266325205,1.2978906991029580375e-08,5.0595914793943950593e-05,0.00014393579304168736951,2917.2668214083028033,7742.7503226873232052
21,3,38,120890.328125,-4.8284351778507419439,0.0078125,0.02731571132331886767,0.0047374735084536826607,66561699041.892631531,62721722249.324302673,-10.198365195411426498,1.3877501973420149458e-08,4.6047453573461370421e-05,0.00016433020968890292655,2450.0694513507510237,8426.1585564590805006
22,4,39,138014.109375,-4.4061015704332646692,0.0078125,0.032935364627249247294,0.0053582075484368048984,75443205597.085510254,62936741629.166870117,-9.4742258912111747549,1.1989471563799061345e-08,5.445499646452022928e-05,0.00013534266054180576133,2571.9063370776857482,8328.8235251809583133
23,3,40,128491.921875,-4.6698174336095314985,0.0078125,0.030497197918359749552,0.004989595729154345724,63381829154.855491638,55112132215.784927368,-11.281516380236258357,1.3470151304695826023e-08,4.8966762294977329449e-05,0.00014950192294293173333,2895.3862689367433632,7438.4844016346542048
24,4,38,122574.4375,-4.477716128781255911,0.0078125,0.032872321321569530905,0.0054144449778434095705,70510939842.79359436,57744152995.126396179,-10.515585083978056247,1.4469218675801165983e-08,5.4502332997276604627e-05,0.00015480945327775991866,2925.3039564542955304,8505.4683730846591061
25,3,39,112927.328125,-4.5966454784626060714,0.0078125,0.030579278616038745725,0.0054064569863986489812,74838490983.396072388,60821231391.057945251,-10.535629103582179411,1.4365390628490312534e-08,4.9926669720991828487e-05,0.00015032117838753442573,2922.4501980433474273,8145.9575527910874371
26,3,43,135636.25,-4.7650646468490229779,0.0078125,0.029304842868961785557,0.004994811130452346884,66430731001.044967651,59919250668.50112915,-10.425373956312133927,1.2419162722616066706e-08,5.4753806451220909349e-05,0.00016226625740866469031,2782.2180228271604392,8272.6709563507101848
27,3,38,117065.09375,-4.8636581249837718133,0.0078125,0.028247384646556985416,0.0051309758176240026495,73523128643.875534058,63981596358.624099731,-11.15733447359750663,1.2787209981185015689e-08,5.1839490368421882959e-05,0.00015943009236102462733,2952.4699296161857092,7906.8268073172430377
28,3,38,141187.640625,-4.5529745875573635061,0.0078125,0.031810412171674157245,0.00506408334223743678,70106897998.185317993,62797570695.587234497,-9.4628147683771395293,1.2163759377120882396e-08,5.0478646529595668651e-05,0.00015126291449007713214,2745.1158213685807823,7687.7046687121992363
